,Date,Close,Percentage_Increase_Decrease,Amount_Invested,return_on_investment
0,2007-09-17,4494.64990234375,0.0,0.0,0.0
1,2007-09-18,4546.2001953125,1.1469256580333154,0.0,0.0
2,2007-09-19,4732.35009765625,4.094626156931791,0.0,0.0
3,2007-09-20,4747.5498046875,0.32118728998469237,0.0,0.0
4,2007-09-21,4837.5498046875,1.8957147097464544,0.0,0.0
5,2007-09-24,4932.2001953125,1.9565770781994951,0.0,0.0
6,2007-09-25,4938.85009765625,0.13482628604715163,0.0,0.0
7,2007-09-26,4940.5,0.03340660905122306,0.0,0.0
8,2007-09-27,5000.5498046875,1.2154600685659434,0.0,0.0
9,2007-09-28,5021.35009765625,0.4159601200102392,0.0,0.0
10,2007-10-01,5068.9501953125,0.947954170303067,0.0,0.0
11,2007-10-03,5210.7998046875,2.7984021130484704,0.0,0.0
12,2007-10-04,5208.64990234375,-0.0412585864806414,20.0,20.0
13,2007-10-05,5185.85009765625,-0.4377296442450662,217.0,236.912454071151
14,2007-10-08,5085.10009765625,-1.9427865847015946,925.0,1157.3097506959693
15,2007-10-09,5327.25,4.76194957215017,0.0,1212.4202574176882
16,2007-10-10,5441.4501953125,2.1436988185743022,0.0,1238.4108961521067
17,2007-10-11,5524.85009765625,1.5326778588471646,0.0,1257.3917457589807
18,2007-10-12,5428.25,-1.7484654958734525,671.0,1906.406684936424
19,2007-10-15,5670.39990234375,4.460920229240539,0.0,1991.4499663963468
20,2007-10-16,5668.0498046875,-0.04144500734910572,13.0,2003.62460981142
21,2007-10-17,5559.2998046875,-1.9186493370270563,605.0,2570.1820795187623
22,2007-10-18,5351.0,-3.746871224895365,955.0,3428.8806667538565
23,2007-10-19,5215.2998046875,-2.535978234208558,404.0,3745.924999367993
24,2007-10-22,5184.0,-0.6001535071745612,71.0,3794.4436991081575
25,2007-10-23,5473.7001953125,5.588352533034335,0.0,4006.49058968183
26,2007-10-24,5496.14990234375,0.4101376807315038,0.0,4022.922717265077
